sseqid	description	tax_id	tax_name	name_id
XP_015774943.1	TFIIH basal transcription factor complex helicase XPB subunit-like	Acropora digitifera	70779	
XP_015778693.1	TFIIH basal transcription factor complex helicase XPB subunit-like	Acropora digitifera	70779	
XP_029190535.2	general transcription and DNA repair factor IIH helicase subunit XPB-like	Acropora millepora	45264	LOC114957316
XP_010019777.1	"ERCC excision repair 3, TFIIH core complex helicase subunit"	Nestor notabilis	176057	
CAG4651610.1				
XP_031346362.1	general transcription and DNA repair factor IIH helicase subunit XPB	Photinus pyralis	7054	
KAF5288218.1				
CAD7452877.1				
XP_002423832.1	"DNA excision repair protein haywire, putative"	Pediculus humanus corporis	121224	PHUM087570
CAD7437755.1				
XP_043480995.1	general transcription and DNA repair factor IIH helicase subunit XPB	Leptopilina heterotoma	63436	
XP_044012659.1	general transcription and DNA repair factor IIH helicase subunit XPB	Aphidius gifuensis	684658	LOC122855407
XP_037075678.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Pollicipes pollicipes	41117	LOC119096821
XP_051164456.1	general transcription and DNA repair factor IIH helicase subunit XPB	Leptopilina boulardi	63433	
XP_043219662.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Amphibalanus amphitrite	1232801	LOC122380521
XP_043190163.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Amphibalanus amphitrite	1232801	LOC122364125
CAG4640650.1				
CAD7195025.1				
CAD7424080.1				
CAD7395415.1				
KYQ53772.1				
TGZ49530.1				
WFS80099.1				
BAS01682.1				
CAI6376720.1				
XP_023232286.1	DNA excision repair protein haywire-like	Centruroides sculpturatus	218467	LOC111632145
CAF0801582.1				
CAH2099452.1				
CAI2353540.1				
CAI5861289.1				
KTF81617.1				
UMM32306.1				
PIC23174.1				
XP_046549186.1	tigger transposable element-derived protein 6-like	Haliotis rubra	36100	LOC124259135
XP_041347231.1	tigger transposable element-derived protein 4-like	Gigantopelta aegis	1735272	LOC121367165
XP_026816812.1	tigger transposable element-derived protein 4-like	Rhopalosiphum maidis	43146	LOC113556201
XP_035212025.1	tigger transposable element-derived protein 6-like	Stegodyphus dumicola	202533	LOC118186108
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_021695234.1	tigger transposable element-derived protein 4-like	Aedes aegypti	7159	
XP_050056126.1	tigger transposable element-derived protein 6-like	Aphis gossypii	80765	
XP_057336463.1	tigger transposable element-derived protein 4-like	Microplitis mediator	375433	
VDN56160.1				
XP_008182065.1	tigger transposable element-derived protein 6-like	Acyrthosiphon pisum	7029	LOC103309140
ULT86551.1				
XP_033761525.1	tigger transposable element-derived protein 4-like	Pecten maximus	6579	LOC117343290
XP_045462918.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
CAH7736028.1				
EGT58544.1				
XP_008179528.1	tigger transposable element-derived protein 4	Acyrthosiphon pisum	7029	
ELK03044.1				
XP_057341772.1	tigger transposable element-derived protein 4-like	Microplitis mediator	375433	
GAA54609.1				
XP_045464477.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
ELU09753.1				
XP_052071173.1	tigger transposable element-derived protein 4-like	Mytilus californianus	6549	
XP_045480271.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
KAE9413225.1				
KJH44753.1				
XP_045460187.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
KRZ45556.1				
XP_048738800.2	tigger transposable element-derived protein 4-like	Ostrea edulis	37623	
XP_051784514.1	tigger transposable element-derived protein 6-like	Erpetoichthys calabaricus	27687	
XP_022172208.1	tigger transposable element-derived protein 6-like	Myzus persicae	13164	LOC111035030
NXI63728.1				
XP_045461246.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_028677229.1	tigger transposable element-derived protein 4-like	Erpetoichthys calabaricus	27687	
EGT43545.1				
XP_003115415.1	hypothetical protein	Caenorhabditis remanei	31234	
VDM03280.1				
NP_001370558.1	Heat shock protein hsp-6	Caenorhabditis elegans	6239	WBGene00002010
XP_002635521.1	Protein CBR-HSP-6	Caenorhabditis briggsae	6238	
CAF1162397.1				
CAG9772045.1				
GFR95028.1				
CAC5373796.1				
KAH9523705.1				
XP_007461485.1	heat shock protein family A (Hsp70) member 9	Lipotes vexillifer	118797	
CAG2255918.1				
XP_013297695.1	chaperone protein DnaK	Necator americanus	51031	
KAI0238168.1				
VDI62162.1				
KAF5269162.1				
CAH0557600.1				
XP_029439217.1	heat shock protein family A (Hsp70) member 9	Rhinatrema bivittatum	194408	
XP_019759484.1	"39S ribosomal protein L15, mitochondrial"	Dendroctonus ponderosae	77166	LOC109537288
XP_052085583.1	"39S ribosomal protein L15, mitochondrial-like"	Mytilus californianus	6549	
XP_046330748.1	"39S ribosomal protein L15, mitochondrial-like"	Haliotis rufescens	6454	LOC124114197
XP_019871981.2	"39S ribosomal protein L15, mitochondrial"	Aethina tumida	116153	ENSATDG00005007673
KAI8754410.1				
KAI0235493.1				
XP_033738668.1	"39S ribosomal protein L15, mitochondrial-like"	Pecten maximus	6579	LOC117326143
XP_041358009.1	"39S ribosomal protein L15, mitochondrial-like"	Gigantopelta aegis	1735272	LOC121374935
XP_041358010.1	"39S ribosomal protein L15, mitochondrial-like"	Gigantopelta aegis	1735272	LOC121374935
XP_013405039.1	"39S ribosomal protein L15, mitochondrial"	Lingula anatina	7574	LOC106169916
XP_013078283.2	"39S ribosomal protein L15, mitochondrial-like"	Biomphalaria glabrata	6526	
XP_050307204.1	"39S ribosomal protein L15, mitochondrial"	Anthonomus grandis grandis	2921223	ENSAGSG00005013732
XP_018568890.1	"39S ribosomal protein L15, mitochondrial"	Anoplophora glabripennis	217634	
UFQ87295.1				
XP_023310336.1	"39S ribosomal protein L15, mitochondrial"	Anoplophora glabripennis	217634	
AZJ16613.1				
UFQ87295.1				
AQX44070.1				
WP_208967072.1				
RUS91788.1				
XP_046544231.1	"39S ribosomal protein L15, mitochondrial-like"	Haliotis rubra	36100	LOC124254354
GFN85872.1				
GFN77994.1				
GBN32550.1				
CAB4037504.1				
CAB3988213.1				
EXX53800.1				
GBN83118.1				
KAG0442155.1				
CAF0988202.1				
CAB4441110.1				
CAF1058709.1				
GBC21067.2				
CAB5379649.1				
GBC10893.1				
GBC30513.1				
XP_022914182.1	"39S ribosomal protein L15, mitochondrial"	Onthophagus taurus	166361	LOC111424751
GBC39792.1				
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
GBC27473.2				
GES82402.1				
GBB86754.1				
GBB83803.1				
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
CAG9565519.1				
CAG9565363.1				
YP_010020355.1	DNA-directed RNA polymerase subunit beta	Ulva australis	111616	
XP_046549186.1	tigger transposable element-derived protein 6-like	Haliotis rubra	36100	LOC124259135
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
GBB90259.1				
CAG9568313.1				
GBP03423.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
XP_021916826.1	tigger transposable element-derived protein 6-like	Zootermopsis nevadensis	136037	
CAB5371299.1				
XP_029635052.1	uncharacterized LOC115210589	Octopus sinensis	2607531	LOC115210589
WP_208967072.1				
XP_022290403.1	tigger transposable element-derived protein 6-like	Crassostrea virginica	6565	LOC111102041
GET65122.1				
XP_052833729.1	uncharacterized LOC128246989	Octopus bimaculoides	37653	LOC128246989
BBO58633.1				
QHD45061.1				
WP_148708480.1				
XP_012564716.1	uncharacterized LOC105848994	Hydra vulgaris	6087	LOC105848994
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
XP_014662536.1	tigger transposable element-derived protein 6-like	Priapulus caudatus	37621	LOC106805461
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_056017299.1	tigger transposable element-derived protein 6-like	Ostrea edulis	37623	
KAF0147144.1				
YP_010020355.1	DNA-directed RNA polymerase subunit beta	Ulva australis	111616	
XP_021916826.1	tigger transposable element-derived protein 6-like	Zootermopsis nevadensis	136037	
WP_259289154.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
TBU03337.1				
TBU06551.1				
MCB1712129.1				
TBU10749.1				
TBU11234.1				
TBU03337.1				
XP_015783088.1	zinc finger BED domain-containing protein 4-like	Tetranychus urticae	32264	
TBU06551.1				
MCB1712129.1				
XP_014339964.1	zinc finger BED domain-containing protein 4-like	Latimeria chalumnae	7897	
TBU11234.1				
TBU10749.1				
MCG8078719.1				
KAA3678154.1				
UFQ87295.1				
WP_157801512.1				
TBU03337.1				
TBU11234.1				
TBU06551.1				
MCB1712129.1				
UOF82001.1				
XP_041434030.1	uncharacterized LOC108702978	Xenopus laevis	8355	
MDE2097566.1				
MDE2022546.1				
MCI4436268.1				
XP_047138930.1	uncharacterized LOC124814884	Hydra vulgaris	6087	LOC124814884
MCI4435741.1				
CAB4131953.1				
CAB4169888.1				
XP_053571499.1	uncharacterized LOC128661246	Bombina bombina	8345	
CAB4217038.1				
CAB4120858.1				
CAB4132951.1				
CAB4240619.1				
CAB4130977.1				
XP_008116317.1	uncharacterized LOC103280146	Anolis carolinensis	28377	
MDE2022545.1				
CAB5223189.1				
XP_034339205.1	uncharacterized LOC117693129	Crassostrea gigas	29159	
CAB5079630.1				
XP_016846924.1	uncharacterized LOC107982425	Anolis carolinensis	28377	
OPZ51606.1				
XP_034315886.1	uncharacterized LOC117685569	Crassostrea gigas	29159	
MBP6774246.1				
XP_052695911.1	uncharacterized LOC128174387	Crassostrea angulata	558553	LOC128174387
XP_022316718.1	uncharacterized LOC111120285	Crassostrea virginica	6565	LOC111120285
XP_033096660.1	uncharacterized LOC117100924	Anneissia japonica	1529436	LOC117100924
XP_047137092.1	uncharacterized LOC124813716	Hydra vulgaris	6087	LOC124813716
XP_047122988.1	uncharacterized LOC124806277	Hydra vulgaris	6087	LOC124806277
XP_034338483.1	uncharacterized LOC117692949	Crassostrea gigas	29159	
XP_047125622.1	uncharacterized LOC124807614	Hydra vulgaris	6087	LOC124807614
XP_040196440.1	uncharacterized LOC120929221	Rana temporaria	8407	
XP_052695912.1	uncharacterized LOC128174389	Crassostrea angulata	558553	LOC128174389
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
XP_052691165.1	uncharacterized LOC128169037	Crassostrea angulata	558553	LOC128169037
XP_034307754.1	uncharacterized LOC117683059	Crassostrea gigas	29159	
MDE2022547.1				
XP_029656787.1	uncharacterized LOC115230800	Octopus sinensis	2607531	LOC115230800
MBU6264869.1				
MCI4436269.1				
QPZ53471.1				
WP_206596365.1				
WP_011923685.1				
MCC6172079.1				
TAL08332.1				
KAG0442155.1				
KAF0147144.1				
KAF4553914.1				
KAJ8920782.1				
PSK43671.1				
CAG4635586.1				
GAM88825.1				
TKX26233.1				
THX60783.1				
POS86363.1				
KAG2161554.1				
THX77174.1				
XP_022290403.1	tigger transposable element-derived protein 6-like	Crassostrea virginica	6565	LOC111102041
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_008302761.1	tigger transposable element-derived protein 6-like	Stegastes partitus	144197	
XP_008194083.1	serine/threonine-protein kinase 26	Tribolium castaneum	7070	
XP_015836021.1	serine/threonine-protein kinase 26	Tribolium castaneum	7070	
THW55299.1				
XP_008194084.1	serine/threonine-protein kinase 26	Tribolium castaneum	7070	
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
KAF2156967.1				
RKF62146.1				
CAH7736793.1				
UFQ87295.1				
WGH24777.1				
THZ05731.1				
KAI5152479.1				
KAI5150356.1				
CAG5014532.1				
CAG9563419.1				
KAG0442155.1				
GBC39792.1				
CAG4974917.1				
CAF3993662.1				
CAF4941173.1				
CAF1197061.1				
CAF1252102.1				
CAF1622042.1				
CAF2182421.1				
CAF1481339.1				
CAF3968913.1				
CAF4620576.1				
CAF0942841.1				
CAF1361809.1				
CAF3947359.1				
APC25135.1				
QUB02984.1				
CAH8495444.1				
CAF2402188.1				
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
CAF0830026.1				
XP_018009942.1	serine/threonine-protein kinase 26	Hyalella azteca	294128	
CAF2916434.1				
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
XP_001713418.1	hypothetical protein	Guillardia theta	55529	
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
YP_009642793.1	Ycf2	Reboulia hemisphaerica	37395	
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
CAF3856117.1				
XP_015913217.2	tigger transposable element-derived protein 4-like	Parasteatoda tepidariorum	114398	LOC107443765
XP_014662536.1	tigger transposable element-derived protein 6-like	Priapulus caudatus	37621	LOC106805461
XP_008302761.1	tigger transposable element-derived protein 6-like	Stegastes partitus	144197	
XP_043480608.1	tigger transposable element-derived protein 4-like	Leptopilina heterotoma	63436	
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
CAF2811177.1				
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
CAF0833573.1				
CAF0944207.1				
CAH8543849.1				
CAF3564741.1				
CAF0983065.1				
CAF4153488.1				
KAF2866551.1				
CAH8544969.1				
CAH8565325.1				
CAH8565341.1				
CAH8549635.1				
CAH8549649.1				
CAF0950125.1				
CAH8565357.1				
KAF2446400.1				
CAH8555438.1				
CAH8559745.1				
TBU03337.1				
KAF9733621.1				
MCB1712129.1				
TBU11234.1				
TBU06551.1				
XP_018651366.1	putative glycyl-tRNA synthetase	Schistosoma mansoni	6183	
TBU13640.1				
GBF60047.1				
WP_253185250.1				
EFJ86420.1				
ERF97534.1				
RMP09635.1				
GIY12356.1				
GFU72514.1				
ESD84293.1				
AUO35313.1				
EQO41637.1				
NGY89287.1				
NGY85057.1				
MCZ6951623.1				
WP_024219084.1				
WP_260974281.1				
WP_260974282.1				
WP_001031427.1				
MCM4840792.1				
WP_213055271.1				
DAP79662.1				
CCJ43249.1				
QPB10329.1				
XP_028865417.1	"reverse transcriptase domain containing protein, putative"	Babesia ovata	189622	
XP_029653939.1	uncharacterized LOC115227167	Octopus sinensis	2607531	LOC115227167
WP_206670166.1				
XP_037868973.1	uncharacterized LOC119628931	Bombyx mori	7091	
WP_213053148.1				
NP_597781.1	head protein	Escherichia phage Lambda	2681611	
KAG4107067.1				
CXH79433.1				
CAD2088778.1				
KAG5329872.1				
KAF8710810.1				
KAF8682628.1				
KAG2068455.1				
KAJ7219904.1				
QRV86569.1				
CAG8556781.1				
QRW00622.1				
QRW15127.1				
CAE6478376.1				
CAI5775074.1				
XP_041434030.1	uncharacterized LOC108702978	Xenopus laevis	8355	
XP_043925694.1	dynein axonemal heavy chain 10	Protopterus annectens	7888	
XP_047122989.1	uncharacterized LOC124806278	Hydra vulgaris	6087	LOC124806278
XP_047138930.1	uncharacterized LOC124814884	Hydra vulgaris	6087	LOC124814884
XP_047135486.1	uncharacterized LOC124812652	Hydra vulgaris	6087	LOC124812652
XP_013191630.1	flap endonuclease 1	Amyelois transitella	680683	LOC106135790
KAG8184984.1				
KAG5670460.1				
XP_028586173.1	cilia and flagella associated protein 58	Podarcis muralis	64176	
XP_034989424.1	cilia and flagella associated protein 58	Zootoca vivipara	8524	
XP_005107626.1	cilia- and flagella-associated protein 58	Aplysia californica	6500	LOC101852955
XP_015275586.1	cilia and flagella associated protein 58	Gekko japonicus	146911	
XP_033119427.1	cilia- and flagella-associated protein 58-like	Anneissia japonica	1529436	LOC117118823
KAI5737019.1				
XP_039217658.1	cilia and flagella associated protein 58	Crotalus tigris	88082	
XP_022086482.1	cilia- and flagella-associated protein 58-like	Acanthaster planci	133434	LOC110977030
XP_054839413.1	cilia and flagella associated protein 58	Eublepharis macularius	481883	
XP_053245246.1	cilia and flagella associated protein 58	Podarcis raffonei	65483	
KAI5704253.1				
XP_043911882.1	cilia and flagella associated protein 58	Protopterus annectens	7888	
XP_053169127.1	cilia and flagella associated protein 58	Hemicordylus capensis	884348	
XP_056706428.1	cilia and flagella associated protein 58	Euleptes europaea	460621	
XP_053169128.1	cilia and flagella associated protein 58	Hemicordylus capensis	884348	
XP_050041013.1	mRNA-capping enzyme-like	Dermacentor andersoni	34620	LOC126537934
XP_033646510.1	mRNA-capping enzyme-like	Asterias rubens	7604	ENSASRG00000013396
CAD5124441.1				
XP_011419835.2	mRNA-capping enzyme	Crassostrea gigas	29159	G5096
XP_050415572.1	mRNA-capping enzyme	Patella vulgata	6465	ENSPVUG00005006749
XP_037507917.1	mRNA-capping enzyme	Rhipicephalus sanguineus	34632	LOC119383714
XP_022311007.1	mRNA-capping enzyme-like	Crassostrea virginica	6565	LOC111116311
CAD7439458.1				
UJR09483.1				
CAF1165981.1				
KAF0763018.1				
XP_038052592.1	mRNA-capping enzyme-like	Patiria miniata	46514	LOC119725290
XP_035210835.1	mRNA-capping enzyme-like	Stegodyphus dumicola	202533	LOC118185145
CAF1028828.1				
CAF0733337.1				
CAF3681758.1				
CAF0954805.1				
CAF1351054.1				
CAF1202885.1				
CAF3482917.1				
XP_052685351.1	mRNA-capping enzyme-like	Crassostrea angulata	558553	LOC128165144
CAF1151673.1				
CAF1123708.1				
CAF0932976.1				
CAF1020596.1				
